"","NUMPC","TVCOLOR","INTRR","MONEYPY","TVRR","FUELRR","TOTSQFT","NHSLDMEM"
"209",1,3,1,7,4,"Natural Gas",3474,2
"210",1,1,1,21,2,"Fuel Oil",596,1
"211",3,5,1,19,4,"Natural Gas",3521,3
"212",0,3,NA,8,3,"Natural Gas",1680,12
"213",6,4,1,7,3,"Electricity",2496,2
"214",1,6,1,20,3,"Natural Gas",3480,3
"215",2,2,1,24,3,"Natural Gas",1566,2
"216",6,3,1,16,3,"Natural Gas",2636,8
"217",1,4,1,8,5,"Electricity",1500,1
"218",1,1,1,7,2,"Natural Gas",806,3
"219",2,3,1,12,3,"Electricity",900,3
"220",0,2,NA,8,4,"Electricity",642,3
"221",4,6,1,24,3,"Natural Gas",4169,3
"222",2,3,1,21,2,"Natural Gas",3578,3
"223",3,1,1,22,3,"Natural Gas",3270,2
"224",0,3,NA,14,4,"Electricity",1150,1
"225",2,4,1,23,3,"Electricity",3280,5
"226",1,3,1,23,3,"Natural Gas",2320,4
"227",2,2,1,12,2,"Propane",658,2
"228",1,1,1,9,3,"Electricity",980,1
"229",4,2,1,18,4,"Natural Gas",1620,4
"230",2,4,1,7,5,"Natural Gas",1710,5
"231",1,2,1,7,4,"Electricity",900,3
"232",1,4,1,9,4,"Natural Gas",1944,6
"233",3,2,1,24,1,"Natural Gas",4601,4
"234",0,1,NA,7,4,"Fuel Oil",1029,1
"235",0,3,NA,7,2,"Natural Gas",1920,1
"236",2,2,1,9,3,"Electricity",1856,2
"237",1,3,1,23,3,"Electricity",2220,3
"238",3,5,1,24,3,"Fuel Oil",3104,6
"239",2,2,1,23,4,"Electricity",1482,1
"240",1,6,1,8,4,"Electricity",1680,2
"241",2,4,1,23,3,"Electricity",3776,3
"242",0,3,NA,20,2,"Natural Gas",1656,1
"243",4,3,1,24,3,"Natural Gas",4352,5
"244",1,3,1,18,4,"Electricity",3179,3
"245",1,1,1,10,2,"Electricity",2484,1
"246",1,2,0,6,4,"Electricity",966,6
"247",1,2,1,12,3,"Natural Gas",983,2
"248",1,2,1,7,5,"Electricity",806,1
"249",1,5,1,13,5,"Natural Gas",2736,2
"250",2,4,0,14,3,"Natural Gas",1976,2
"251",1,3,1,17,4,"Natural Gas",2226,2
"252",0,1,NA,5,2,"Natural Gas",1896,1
"253",1,3,0,1,3,"Natural Gas",1708,2
"254",2,4,1,21,2,"Fuel Oil",3352,1
"255",1,2,1,12,5,"Natural Gas",810,4
"256",1,1,1,5,1,"Electricity",4998,1
"257",1,2,1,5,3,"Natural Gas",517,4
"258",0,1,NA,8,4,"Propane",2732,2
"259",2,2,1,13,3,"Natural Gas",861,2
"260",2,5,1,8,4,"Natural Gas",1080,2
"261",0,2,NA,7,3,"Natural Gas",358,1
"262",4,5,1,7,3,"Natural Gas",3642,10
"263",1,2,1,6,3,"Natural Gas",932,4
"264",6,3,1,24,2,"Natural Gas",2058,3
"265",0,1,NA,6,3,"Natural Gas",700,1
"266",1,1,1,15,4,"Electricity",1600,2
"267",1,3,1,7,3,"Natural Gas",2521,1
"268",1,3,0,1,5,"Fuel Oil",956,2
"269",1,3,1,5,3,"Natural Gas",894,2
"270",0,2,NA,9,3,"Electricity",672,1
"271",2,1,1,17,2,"Natural Gas",2346,1
"272",4,4,1,24,2,"Natural Gas",3870,5
"273",0,2,NA,17,5,"Electricity",720,2
"274",2,3,1,18,4,"Electricity",2267,2
"275",1,2,1,6,3,"Electricity",1318,4
"276",2,2,1,23,2,"Natural Gas",1321,2
"277",2,3,1,24,2,"Fuel Oil",3552,2
"278",2,5,1,24,4,"Natural Gas",2030,4
"279",1,4,1,7,5,"Natural Gas",840,4
"280",0,1,NA,16,3,"Natural Gas",1312,1
"281",2,2,1,11,3,"Electricity",830,2
"282",2,4,1,23,3,"Natural Gas",3912,4
"283",3,4,1,16,3,"Electricity",1728,5
"284",2,3,1,24,2,"Electricity",1050,3
"285",1,2,1,12,2,"Natural Gas",1116,5
"286",1,1,1,10,4,"Fuel Oil",2394,2
"287",2,3,1,24,3,"Natural Gas",2204,4
"288",2,2,0,5,3,"Propane",2111,4
"289",0,1,NA,17,5,"Electricity",3000,2
"290",1,1,1,7,4,"Electricity",1125,1
"291",1,1,1,9,1,"Electricity",1806,1
"292",1,3,1,12,2,"Natural Gas",3000,4
"293",2,1,1,23,2,"Natural Gas",2772,2
"294",0,1,NA,14,3,"Electricity",750,1
"295",1,3,1,23,4,"Electricity",3240,2
"296",1,3,1,8,4,"Fuel Oil",2475,2
"297",1,1,1,19,2,"Natural Gas",803,2
"298",2,4,1,18,4,"Natural Gas",2205,3
"299",1,1,1,7,3,"Natural Gas",2106,1
"300",0,1,NA,4,3,"Electricity",980,1
"301",1,5,1,8,5,"Natural Gas",3643,5
"302",0,2,NA,13,5,"Natural Gas",1109,8
"303",2,3,1,20,4,"Natural Gas",3080,4
"304",2,2,1,9,4,"Natural Gas",2847,1
"305",0,1,NA,8,3,"Natural Gas",800,2
"306",0,3,NA,10,4,"Natural Gas",2596,3
"307",3,4,1,24,3,"Natural Gas",1707,3
"308",1,3,1,7,3,"Electricity",1001,3
"309",1,4,1,24,3,"Natural Gas",5416,2
"310",0,3,NA,19,3,"Natural Gas",1609,2
"311",2,4,1,23,3,"Natural Gas",4694,2
"312",1,3,1,8,4,"Electricity",1848,2
"313",1,2,1,17,2,"Natural Gas",2676,2
"314",5,4,1,15,4,"Natural Gas",3956,2
"315",2,2,1,10,4,"Electricity",1248,3
"316",0,1,NA,8,2,"Electricity",980,5
"317",0,1,NA,6,3,"Electricity",994,1
"318",3,4,1,14,3,"Natural Gas",2016,4
"319",2,3,1,9,2,"Natural Gas",1866,2
"320",0,1,NA,1,1,"Electricity",3340,1
"321",1,1,1,10,2,"Natural Gas",1136,2
"322",3,3,1,16,4,"Natural Gas",2854,2
"323",4,4,1,24,3,"Natural Gas",2208,5
"324",3,5,1,24,3,"Electricity",1863,4
"325",1,4,1,13,2,"Natural Gas",1639,5
"326",1,1,0,11,2,"Natural Gas",1026,1
"327",6,6,1,16,3,"Natural Gas",3550,7
"328",1,4,1,8,5,"Electricity",1280,5
"329",1,2,1,16,4,"Natural Gas",1216,4
"330",2,1,1,12,1,"Natural Gas",409,1
"331",1,3,0,9,3,"Electricity",1096,2
"332",1,3,1,17,4,"Natural Gas",2030,1
"333",0,1,NA,4,3,"Natural Gas",478,1
"334",1,2,1,12,3,"Electricity",2880,2
"335",1,3,1,13,2,"Electricity",2006,5
"336",0,3,NA,5,5,"Electricity",766,1
"337",3,2,1,24,2,"Electricity",2284,2
"338",3,3,1,22,3,"Electricity",3036,3
"339",1,5,1,14,3,"Natural Gas",1908,5
"340",2,2,1,8,1,"Electricity",1620,2
"341",2,1,1,12,2,"Natural Gas",1071,1
"342",1,3,1,9,4,"Natural Gas",666,2
"343",1,2,1,9,2,"Electricity",1305,1
"344",1,3,1,5,3,"Natural Gas",1259,3
"345",2,4,1,24,2,"Natural Gas",4357,2
"346",2,2,1,22,5,"Natural Gas",1809,3
"347",1,3,1,8,5,"Natural Gas",1732,2
"348",1,2,1,6,3,"Electricity",1326,6
"349",0,3,NA,3,2,NA,1040,2
"350",0,2,NA,18,2,"Electricity",1800,2
"351",1,2,1,19,4,"Natural Gas",667,1
"352",4,5,1,9,5,"Electricity",5040,4
"353",1,3,0,4,3,"Natural Gas",1800,3
"354",1,4,1,13,3,"Natural Gas",3220,2
"355",1,4,1,12,2,"Natural Gas",1896,2
"356",2,5,1,17,3,"Electricity",2891,4
"357",3,3,1,20,2,"Electricity",1160,3
"358",2,6,1,23,4,"Electricity",2557,4
"359",1,2,1,21,4,"Natural Gas",1728,3
"360",0,2,NA,11,3,"Natural Gas",2277,3
"361",1,1,1,9,3,"Natural Gas",1536,1
"362",0,1,NA,5,3,"Fuel Oil",2160,1
"363",0,2,NA,1,5,"Natural Gas",1232,2
"364",2,3,1,17,5,"Electricity",2200,5
"365",5,3,1,9,4,"Natural Gas",3573,5
"366",1,3,1,6,3,"Natural Gas",1440,2
"367",1,3,1,14,3,"Electricity",1570,5
"368",3,5,1,15,2,"Electricity",2220,4
"369",2,3,1,24,3,"Electricity",6240,2
"370",2,1,1,13,4,"Propane",3276,2
"371",0,5,NA,10,4,"Natural Gas",2200,10
"372",1,1,1,1,2,"Electricity",994,2
"373",2,2,1,20,3,"Electricity",2351,5
"374",0,1,NA,4,2,"Propane",1042,1
"375",3,2,1,24,1,"Natural Gas",3488,3
"376",3,3,1,22,3,"Electricity",2449,4
"377",0,3,NA,9,2,"Electricity",1155,4
"378",4,2,1,9,1,"Electricity",1920,3
"379",3,2,1,24,3,"Electricity",1127,4
"380",1,2,0,5,4,"Natural Gas",1830,2
"381",0,2,NA,8,4,"Electricity",2217,1
"382",2,1,1,11,2,"Natural Gas",836,4
"383",1,1,1,17,4,"Fuel Oil",1655,2
"384",1,2,1,14,2,"Natural Gas",3369,2
"385",3,1,1,19,4,"Natural Gas",3335,3
"386",1,3,1,15,5,"Electricity",1231,4
"387",2,2,1,12,3,"Electricity",1656,3
"388",3,4,1,16,5,"Natural Gas",3008,5
"389",0,1,NA,12,1,"Electricity",845,1
"390",0,2,NA,12,4,"Natural Gas",1302,2
"391",0,2,NA,9,3,"Electricity",3120,2
"392",3,3,1,11,1,"Electricity",2412,2
"393",3,3,1,21,4,"Natural Gas",1956,5
"394",3,1,1,23,2,"Electricity",1728,4
"395",1,3,1,8,3,"Natural Gas",1204,2
"396",3,4,1,24,4,"Natural Gas",3024,5
"397",2,3,1,14,4,"Natural Gas",3221,2
"398",3,1,1,23,3,"Electricity",5025,2
"399",2,4,1,15,2,"Fuel Oil",1175,2
"400",0,3,NA,8,3,"Electricity",1325,4
"401",2,2,1,12,2,"Electricity",1456,2
"402",2,5,1,16,4,"Electricity",3358,3
"403",1,1,1,7,1,"Natural Gas",1820,1
"404",1,1,1,5,5,"Electricity",691,1
"405",1,8,1,6,3,"Electricity",3825,1
"406",0,3,NA,9,4,"Electricity",2275,2
"407",1,1,1,14,5,"Electricity",769,1
"408",2,3,1,11,4,"Electricity",1430,2
"409",1,3,1,11,2,"Natural Gas",5639,1
"410",1,2,1,12,5,"Natural Gas",1936,5
"411",1,0,1,11,NA,"Natural Gas",5906,4
"412",1,2,1,8,3,"Electricity",1042,2
"413",1,4,1,7,5,"Natural Gas",1956,3
